id,neighbourhood_cleansed,latitude,longitude
34179989,West End,49.28473,-123.12414
34180296,West End,49.29043,-123.13367
34185269,Renfrew-Collingwood,49.25533,-123.04361
34185491,South Cambie,49.24621975,-123.1180088
34203078,Downtown,49.28618,-123.12312
34209584,Renfrew-Collingwood,49.25821,-123.04656
34209832,Renfrew-Collingwood,49.25787,-123.04549
34235015,Riley Park,49.24049,-123.09713
34253916,Kensington-Cedar Cottage,49.24398,-123.08796
34258439,Riley Park,49.24388,-123.09462
34278849,Renfrew-Collingwood,49.23842,-123.03808
34285936,Downtown,49.27468,-123.13269
34308159,Oakridge,49.22744,-123.11215
34312548,Hastings-Sunrise,49.26318,-123.0336
34314864,Grandview-Woodland,49.26665,-123.06027
34315293,Grandview-Woodland,49.2667,-123.06024
34339291,Downtown,49.27882767,-123.1075058
34343991,Downtown,49.27978,-123.10638
34400711,Marpole,49.21328,-123.11393
34417665,Dunbar Southlands,49.23737,-123.1949
34418103,Downtown,49.27848,-123.10632
34422223,Downtown,49.2794,-123.10765
34422652,Dunbar Southlands,49.23557,-123.20191
34424045,Downtown,49.28037,-123.10693
34429378,Downtown Eastside,49.28134,-123.08342
34436113,Arbutus Ridge,49.248,-123.1684
34446877,Mount Pleasant,49.26227,-123.09122
34475317,Dunbar Southlands,49.24267,-123.184
34478325,Fairview,49.26672,-123.13075
34480865,Downtown,49.27339,-123.10189
34483745,Downtown,49.28022,-123.12451
34486430,Downtown,49.27931,-123.11425
34502547,Downtown,49.27827,-123.12106
34510809,Hastings-Sunrise,49.26619,-123.02802
34511658,West End,49.28905,-123.14016
34513875,Sunset,49.22877,-123.10511
34516270,Dunbar Southlands,49.25427,-123.17841
34516436,Dunbar Southlands,49.23859,-123.19518
34516983,Downtown,49.28028,-123.12654
34534702,Downtown,49.2778,-123.12934
34537516,Kitsilano,49.25999,-123.14747
34538696,West Point Grey,49.2584,-123.21416
34541710,Arbutus Ridge,49.24692,-123.16597
34574221,Mount Pleasant,49.27149,-123.10447
34576151,Riley Park,49.25462,-123.09514
34577064,Victoria-Fraserview,49.22455597,-123.0552826
34578927,Kitsilano,49.26461,-123.1564
34579108,Riley Park,49.25358,-123.10384
34629428,Killarney,49.22159,-123.04221
34647721,Downtown Eastside,49.28277,-123.10719
34648642,Shaughnessy,49.23903,-123.15143
34649996,Marpole,49.21394,-123.11052
34651168,Downtown,49.2802,-123.11582
34656258,Downtown,49.27404,-123.11447
34678659,Downtown,49.27968,-123.10883
34679382,South Cambie,49.24963,-123.11933
34692199,Hastings-Sunrise,49.27636,-123.03481
34711944,Downtown,49.28131,-123.1206
34717213,Grandview-Woodland,49.28619,-123.06425
34720427,Hastings-Sunrise,49.28138,-123.05458
34752083,Downtown,49.2747,-123.12633
34787711,Mount Pleasant,49.26463,-123.09915
34793121,Dunbar Southlands,49.24555,-123.18408
34793653,Dunbar Southlands,49.24589,-123.18407
34839915,Killarney,49.22847,-123.03216
34843631,Grandview-Woodland,49.2879,-123.05895
34847091,Renfrew-Collingwood,49.24616,-123.04223
34874854,Kitsilano,49.25839,-123.14987
34895728,Downtown,49.28435,-123.11226
34898227,Downtown Eastside,49.28079,-123.09973
34900603,West End,49.28687,-123.13024
34903179,West End,49.28839,-123.13291
