id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1223989,2013-07-02,2021-01-31,4.85,4.84,4.89,4.9,4.94,4.91,4.86,0.86
1229506,2013-07-30,2022-08-21,4.9,4.9,4.9,4.9,4.9,5,4.9,0.09
1273760,2013-07-07,2023-02-27,4.86,4.9,4.92,4.92,4.95,4.97,4.81,4.52
1291394,2013-07-28,2022-02-03,4.9,4.97,4.84,4.97,5,4.97,4.92,0.33
1309315,2013-08-03,2022-08-29,4.29,4.86,4.71,5,4.57,4.57,4.57,0.06
1316419,2014-05-01,2014-07-01,4.5,4,4.5,5,3,4,4,0.02
1316477,2015-12-12,2020-09-30,4.86,5,4.71,5,4.86,5,4.29,0.08
1343411,2015-09-15,2020-11-22,4.7,4.85,4.46,4.91,4.93,4.52,4.78,0.6
1343519,2014-05-20,2022-12-10,4.47,4.62,4.5,4.82,4.75,4.87,4.56,0.63
1360765,2013-07-22,2023-02-02,4.75,4.72,4.64,4.74,4.81,4.85,4.78,0.99
1361276,2013-08-13,2023-01-01,4.71,4.76,4.82,5,5,4.94,4.71,0.15
1365609,2013-08-07,2023-03-09,4.89,4.93,4.89,4.85,4.91,4.91,4.82,1.37
1375143,2017-12-18,2022-08-31,5,5,4.67,5,4.67,5,4.33,0.05
1378220,2016-07-03,2022-11-23,4.67,4.78,4.76,4.79,4.9,4.92,4.61,1.18
1398788,2013-08-07,2023-02-03,4.9,4.9,4.91,4.92,4.95,4.81,4.75,0.81
1399744,2014-07-08,2022-05-31,4.75,4.83,4.75,4.92,4.92,4.92,4.58,0.11
1466647,2014-11-22,2020-08-31,4.23,4.54,4.23,4.77,4.62,4.75,4.46,0.14
1502887,2014-01-09,2018-12-01,4.8,5,4.6,5,5,5,4.6,0.04
1507975,2013-08-16,2023-03-04,4.71,4.82,4.79,4.92,4.93,4.78,4.77,2.69
1525113,2014-05-04,2023-01-15,4.36,4.38,3.92,4.92,4.85,4.92,4,0.13
1565861,2013-10-22,2022-07-27,4.92,4.84,4.76,4.91,4.99,4.99,4.76,0.67
1610084,2013-09-08,2023-02-25,4.88,4.89,4.95,4.97,4.95,4.83,4.77,1.47
1620084,2019-02-28,2019-02-28,5,5,5,5,5,5,5,0.02
1623556,2013-09-09,2023-02-26,4.68,4.71,4.69,4.91,4.87,4.79,4.75,2.63
1629480,2014-05-16,2023-01-31,4.82,4.78,4.92,4.97,4.99,4.9,4.82,1.29
1657214,2013-09-24,2021-05-08,5,5,4.8,5,5,5,4.6,0.04
1703616,2022-05-06,2023-02-28,4.5,5,5,5,4.5,5,4.5,0.19
1717967,2013-11-30,2023-03-05,4.92,4.96,4.96,4.98,4.98,4.88,4.91,2.87
1733307,2021-09-07,2023-03-05,4.9,4.89,4.85,4.79,4.98,4.9,4.81,4.93
1768817,2014-02-09,2022-10-28,4.9,4.96,4.96,4.94,4.96,4.88,4.82,0.62
1820919,2014-07-01,2023-01-26,4.92,4.85,4.87,5,4.93,5,4.83,0.58
1830733,2013-11-20,2023-03-05,4.9,4.96,4.96,4.98,4.99,4.73,4.87,2.27
1850984,2014-01-03,2022-12-31,4.78,4.81,4.53,4.88,4.91,4.78,4.78,0.29
1869071,2015-09-15,2022-01-05,4.75,4,5,4.5,5,5,4.25,0.04
1898584,2013-12-12,2022-12-07,4.75,4.8,4.77,4.91,5,4.37,4.63,0.32
